null|机油|越来越少|20161102104819|1|4|我检查机油的时候总是看着机油越来越少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|null|“前冲”或“抖动”感|20161102104819|2|79|例如，如果第一步和第二步的操作过程很快，在发动机转速尚未下降到同步转速时就抬离合，且抬离合操作过快，发动机转速表指针由上向下快速摆动至同步转速，车辆可能会有“前冲”或“抖动”感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|车底|发出好像敲鼓（类似弹簧缺油）的声音|20161102104819|17|169|???车在15000公里的时候发现打转向时车底下发出好象敲鼓（类似弹簧缺油）的声音，特别是原地打方向时更清晰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥德赛|体型|臃肿，厚重|20161102104819|25|227|????????老款奥德赛的尾灯是镶嵌在贯通尾部的细长条反光饰条之上的，像是系了一条细腰带，准确地说是属于“时尚的MPV”，但体形上却难逃臃肿，尤其是下半部分显得过于厚重,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|内饰|不好看|20161102104819|35|271|就是引进国内内饰不好看，听说油耗很高，以后配件也很昂贵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|油耗|很高
null|配件|很昂贵
别克|4s店|态度极度冷淡|20161102104819|39|276|7月初，想买台商务车，经过多方面考虑定下两种：别克GL8和本田奥德赛先到的别克4S店，转了半天没人理，主动找销售，说要买GL8，有台样车，锁着，不让看，态度极度冷淡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4s店|态度|极度冷淡
别克|销售|冷漠，默然，冰冷到底|20161102104819|39|277|哎，直接走人，在网上看到过说别克的销售冷漠，没想到，比我想象的还默然，冰冷到底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丰田|导航|信息点奇少，搜索出来结果少得可怜|20161102104819|65|408|结论：丰田导航信息点奇少，比凯立德、城际通等少得多，用凯立德等地图输入关键词搜索出来很多结果，用丰田导航搜索出来结果少得可怜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|消音器|坏了，质量问题|20161102104819|74|456|我的消声器不到50000公里就坏了，开车就像开本田拖拉机，强烈要求为我们免费换消声器，而且，不是一个二个人的问题，有这种情况的人很多，质量问题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|大灯|突然暗一下|20161102104819|96|588|我的车夜晚一踩刹车大灯突然会暗一下，不知道各位大侠是否有同样的问题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皇冠|卡带地区|不怎么好看，基本上没有用途|20161102104819|127|682|皇冠的卡带地区不怎么好看，基本上没有用途，不知道那位高手可以建议或者改装过其他的实用的配件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|价格|升了很多|20161102104819|133|695|但我问了朋友，他以前买的车价是68万，靠~还不是一样，估计是之前的大排量税的问题，价格就升了很多，估计现在又是政策问题，价格降了下来~然后在看，没有无匙启动，想想也是，估计都是几年前设计理念的产品了，估计还跟不上改进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威驰|后避震|存在质量问题==漏油|20161102104819|142|757|07威驰的后避震存在质量问题==漏油，不到两年我都换了3根了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起步|提速|很慢|20161102104819|147|768|现在已开了1815公里，起步提速很慢，减震一般，最近一个星期在高速中有时会象砂石跌落的声音，大约2-3秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null|减震|一般
宝马|null|不结实|20161102104819|157|812|宝马怎么会那么不结实,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丰田|皇冠2.5|null|20161102104819|164|832|今天有些郁闷,在这里提醒一下想要买丰田皇冠车2.5的朋友.我去年三月提的车,是在深圳泥岗路的华日丰田4S店.现在车还不到两年,毛病多多:1.轮胎质量一般,补胎有四次,侧刮破一次导致现在还有用的四轮中有一备胎2.油耗感觉偏高,深圳市内一般13个左右3.右侧和尾箱经常有异响4.最近空调制冷效果差,昨晚和朋友出去,开19度后排朋友还冒汗,并且初了出风的声音外,有口哨声,一个字烦!!!被朋友攻击得很没面子,他们说比QQ都不如.今天LP开去4S店,师傅说没什么问题,交米换些风格之类的什么东东就可以了.我不太懂车,正常的保养都交他们S店的小梁业务(顺便说一下,这业务人很好,服务也不错),我不明白为什么保修期内碰到这类问题还要交米!5.保养费用比较大,平均应该在一千以上,几乎每次都有新项目要做,少则三四百多则五六百.我QQ745870831,很少上论坛,欢迎同类车2.5朋友多交流,向大家学习.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皇冠2.5|轮胎|质量一般
皇冠2.5|油耗|感觉偏高
皇冠2.5|右侧|有异响
皇冠2.5|尾箱|有异响
皇冠2.5|空调|制冷效果差
皇冠2.5|保养|费用比较大
保养|费用|比较大
