object|attribute|senword
奔驰|售后|深似海
奔驰|null|null
瓦格纳加蔡澈|null|null
奔驰|价格|寒心
日本车|null|悔青了肠子
4s|售后服务|null
奔驰|null|讨厌
a6|null|不适合
福特|四缸涡轮引擎|缺德
汽车|质量|大打折扣
福特|ecu位置，后排座椅|弱智，薄的不能再薄
奔驰|null|水土不服
奥迪|品牌|差蛮多的
法拉利|驾驶快感|高贵
80年代的车|null|影响自主品牌发展
大众|null|不要脸
卡罗拉|null|不行
丰田|null|null
凯美瑞|null|null
丰田|刹车性能|刹不住
丰田凯美瑞|null|太平间里安心睡
大众|价格|不厚道
大众|态度|不真诚
丰田普锐斯|价格|贵
丰田5a-fe|发动机|卧槽尼玛
奇瑞a3，长安悦翔，天津一汽威志|安全，自主品牌|存在极大风险，让人担忧
奔驰|保养价格|坑爹
null|延展性，遮瑕|略逊色于
大众|null|失望
广汽|发动机|短板
大众车主|null|强奸，骗
大众的车|设计|同化很严重
大众系|发动机|烧机油
null|界面|好恶心
广汽|防撞梁，车门|没有，焊接的
荣威|发展状况|还不如
奇瑞|null|想吐
奇瑞|设计|挑战了审美底线
日本车|技术|相当普通
大众，丰田，本田|价格，配置|高价简配
捷豹xf|质量|差
a83，0t|null|故障
大众|外形|大众脸
索纳塔8代|销量|相差甚远
奇瑞qq|null|和图片一样
高尔夫|利润|太高
大众朗逸-|内饰，价格，售后|不好，高，超差
null|刹车功能|不太好，危险
车|null|好脑残
大众|null|无好车
2012款本田cr-v|尾部设计|败笔
致胜|性价比|提价减配
通用的汉兰达|爬坡|不行，爬不动
奥迪a4|性价比|太低
雪佛兰|销售顾问的低级错我|让人无语
比亚迪|油耗，售后|好高骛远
tt|发动机|烧机油
宝马|销售员|素质低下
bmw|null|无语
null|噪音，齿轮箱，刹车|大，差，抖动
山地车|价格|不菲
奥迪4s店|态度|傲慢
本田，日产，马自达，本田|null|不行
韩国汽车|外形，内饰，机械|平平，土气，粗糙
丰田|设计|没有
新款本田crv|内饰|不是很舒服
日系车|null|杯具
日本车|安全性|有待考虑
宝马|4s店服务|相差太远
丰田|null|不信这么硬气
比亚迪|净利润|更差
null|排量，马力|大，低
这部车|内饰|无质感，较强的塑料感
马自达|利润|连亏
奔驰|节奏，3，5v6的技术|跟不上，out
新款|造型|太凶了
比亚迪|车载电池|严重影响车的操控，可能侧翻
奥迪4s店|态度|傲慢
丰田凯美瑞|null|被彻底干翻
奥迪4s店|态度|傲慢
奥迪a1|款式，空间|不方便，太小
起亚车|动力，提速|无法相比，有很大差距
audi|服务意识|差劲
奥迪|销售和客服|高级黑
奔驰|售后，操控，性价比|不如，失望
null|定价，款式，货源|不合理，款式不足，刻意制造短缺
丰田车|null|小些
丰田|设计师|缺乏想象力
福特|null|null
null|尾巴|过时
null|报价|不便宜
null|服务态度|倒闭，老天下了眼
起亚|环保，油耗，动力|爱积碳，高，差
聆风|电池|老化过快
大众汽车|对待客户的态度|没诚信且傲慢
奥迪|销售|null
日系|null|冷淡
奔驰|保养费|贵
本田|null|冠军
奥迪4s店|服务|傲慢
null|transmission，加速感，排量，颜色，外形，价格|不好，不够，小，不好看，丑，搞
4s店|null|变态，鄙视
null|品牌影响力|实在太差
沃尔沃|空间|太小气，不够大
这款车|动力，油耗|小，高
通用的v8引擎|排量，税收|太高，交不起
byd|策略|有问题
混合动力车|油耗|根本不省油
混合动力车|混动，电池，限制条件|相当多
东风日产|配件质量|差
别克4s店|态度|差
比亚迪|核心业务|遭质疑
大众|null|不喜欢
速腾|内饰|也不好看
奥迪a4|碰撞试验|不堪一击
别克|自动开灯|讨厌
奥迪|小毛病|那么多
奔驰|销量绝对值和相对增幅|落后
比亚迪奇瑞吉利|对待客户态度|null
大奔|动力|不如别克
奥迪a6|车风车德|null
比亚迪|玻璃本性|最大败笔
丰田卡罗拉|null|不喜欢
encore|新设计|不符合规范
新览胜|灯|无力吐槽
福特|前脸|无力吐槽
日本车|null|确实不好
比亚迪|服务|何时能赶上
奥迪q7|舒适性|恶心
null|底盘厚实度，前门板扶手，整体舒适性|差一点，太短，比不上
上海大众|产品质量，售后服务质量|差
奥迪|发动机|烧机油
大众|前脸设计|审美疲劳
比亚迪|发动机|null
null|高速，刹车|断车轴，漏油
丰田|刹车性能|吓
丰田|刹车|刹不住
null|技术|很成熟
日产车商|null|强烈鄙视
奥迪|嘴|更大了
东昌福特4s|维修|坑爹，忽悠
日产|保养|尼玛
奥迪的吉普|最后座|中看不中用
比亚迪，吉利|产品|惨不忍睹
汉兰达|null|null
日产|null|来火
奇瑞汽车|null|下线了
null|主流车型|存在致癌风险
4s|中保|会赚钱
