车|机油|越来越少
车|null|“前冲”或“抖动”感
车|车底|发出好像敲鼓（类似弹簧缺油）的声音
奥德赛|体型|臃肿，厚重
车|内饰|不好看
车|油耗|很高
车|配件|很昂贵
别克|4s店|态度极度冷淡
4s店|态度|极度冷淡
别克|销售|冷漠，默然，冰冷到底
丰田|导航|信息点奇少，搜索出来结果少得可怜
车|消音器|坏了，质量问题
车|大灯|突然暗一下
皇冠|卡带地区|不怎么好看，基本上没有用途
车|价格|升了很多
威驰|后避震|存在质量问题==漏油
起步|提速|很慢
车|减震|一般
宝马|null|不结实
丰田|皇冠2.5|null
皇冠2.5|轮胎|质量一般
皇冠2.5|油耗|感觉偏高
皇冠2.5|右侧|有异响
皇冠2.5|尾箱|有异响
皇冠2.5|空调|制冷效果差
皇冠2.5|保养|费用比较大
保养|费用|比较大
途安|null|费油
途安|维修|昂贵
途安|null|烧机油
车|升降档|顿挫感强烈
车|起步|肉
车|最高速|不会太快
车|油耗|高
车|风噪|明显加大了
08威驰|报警器|不响了
DD|方向机|响
DD|打方向|有吱吱的很轻微的声音
车|后视镜|不舒服
车|左后视镜|范围小
中网|变化|不如老款好看
中网|前大灯组合|没有改新
图胜|方向机|损坏
图胜|质量|太差
皇冠|null|感觉没有12代的经典与大气
车|null|要运动不运动，要大气不大气，要稳重更不稳重
DD|USB|连接后却读不出来
Q3标准版|刹车|有个问题
车|响声|增大了
车|发动机|烧机油
车|动力传输|突然迟缓
小v|空调|有一股异味
DD|轮胎|质量不怎么样
车|动力|不太够
车|提速|没法跟小车比
途安1.8|空调|出风就很小了
丰田|null|还真不如买个轿子开
本田|null|还真不如买个轿子开
车|导航|和行驶路线不一致
车|油门|没有推动力
车|灯光辅助|没有
车|视线|不好
刹车|声音|有很刺耳的声音
威驰|刹车|总能听见前轮嘎吱嘎吱的响
车|空调|没了
车|外扬式后车窗|只能开那一条小缝
外扬式后车窗|通风|很不爽
车|置物箱|令我放超长的材料受限制
车|中排滑椅|不能折起
车|皮带轮|发出的声音
大麦|油耗|有点高啊
车|固特异轮胎|烧掉了一只
车|null|闻到一股焦糊味
车|装配工艺|越来越差
车|驾驶员手套箱|做的太差了
车|杯架|已经坏了
车|传动轴|断裂
皇冠|大灯清洗装置|最浪费的
车|马力|不怎么好
车|方向机|漏油
车|助力泵|有点响
DD|左后视镜|有盲区
车|大灯|null
途安|内饰|有不足之处
车牌|质量|真差
车|车皮|太薄
车|车身|轻
日本车|漆面|太软
车|路噪|大
车|胎噪|大
车|风噪|大
小威|波杆|最难看，细细长长的，看去特别没档次
车|发动机|“丝丝”声音
车|发动机|嗡嗡的声音
皇冠2.5强化版|大灯|照路时有许多阴影，枝条状
车|发电机|坏了
鼓风机|声音|大
车|车身|发飘
发动机|声音|挺大的
比亚迪|电机|重量重
电机|重量|重
电容大巴|效率|低下
车|加速能力|非常差
车|null|异响
车|发动机|塑料味特别的大
发动机|声音|很大
车|油门踏板|有轻微的“达达哒”声音
车|声音|比较大
车|null|大幅减配
车|钣金|太薄
车|漆面|软而不平
车|灯泡|经常坏
车|仪表|要么失灵，要么坏掉
车|门边|参差不齐
车|接缝处|参差不齐
HG2.5导航版|发动机|冷启动噪音很大
车|做工|无法比拟的
车|质量|无法比拟的
车|手感|无法比拟的
车|漆面|太软
车|车身|抖动
车|车辆|抖动剧烈
发动机|声音|沉闷
车|加油|不畅像要断火
新胜达|避震|太硬
新胜达|喇叭|经常单音
途安|内部空间|表现比较一般
大众|途安|null
1.8T车型|起步价|比较贵
涡轮增压发动机|后期维护|保养费用也比较昂贵
后期维护|保养费用|也比较昂贵
车|价格|偏高
车|动力|有严重的动力问题
DD|GPS|不好使
DD|卡槽|没有GPS卡
车|声音|出现""哧哧哧""的声音
车|油门|出现很大的""咀咀""声
手提箱|声音|有类似报警的声音
车|null|车被划了一分钱大的小圆点能见到铁皮了
起步|换挡|有点顿
起步|声音|挺大又细又尖
车|后驱|侵占了太多的车内空间
传动轴|传动效率|低一些
后轮|驱动力|很容易突破极限
车|null|嘶嘶声：像气球漏气
车|空调|有毛病
车|冷却系统|有毛病
车|null|啸鸣声
车|加速|失去动力
车|待速|不稳时高时低
雨刮器|声音|有很大的声音
车|null|擦不下去，就好像磨了一样
金刚|null|抖动
金刚|排气|噗噗响，有水喷出
车头|null|异响
车|null|关门后，上面中间的缝隙有一指宽
车|地盘|不全，而且不结实，指甲一抠就掉了，摸起来发粘
地盘|防护性能|一般
领驭|座位|没有小V的舒服
领驭|方向盘|只能适合男人用，又大又沉
车|原地打轮|有吱嘎声
发动机|声音|大
车|横杆|不喜欢，两头突出还太高，不美观
NF御翔|null|成为一款标准的失败产品
车|null|稍微大了一点点，有点臃肿的感觉
车|氙气大灯|没有
车|随动转向|更别谈了
车|塑料感|较大
车|用料|一般
关车门|厚重感|较差
车|质量|严重
35|做工|一般
35|塑料感|太强
丰田|中控锁|集体失灵
车|车门|不能开也不能关
车|车辆报警器|鸣叫不停
座椅的|高低调节拉杆|碰腿
08款新胜达|变速箱|油封大量漏油
变速箱|油封|大量漏油
现代车|质量|怎么这样差
小V|防擦条|是用双面胶粘上去的吗
车|速度|慢
车|null|有一些象是电流一样的怪音出现
通话|质量|对方听不清楚
车|null|多不方便
神2|后排空间|有点小
内饰|null|怎一个惨字了得
内饰|用料|惨不忍睹
车|轮胎|鼓起好几个包
车门|锁|经常坏
蓝鸟|悬架|实在太软
车|内饰|太塑料了，手感真的很差
车|中控|基本是硬塑料组合
车|工作台|有响动
内饰|用料|真的挺垃圾
车|天窗|有漏水现象
车|车噪|有点大
车|底盘|太低
车|发动机|没有劲
车|噪音|明显增大
喇叭|声音|让人失望，不浑厚比较单一
内饰|做工|粗糙
车|浅色内饰|坐一次心痛一次
车|大灯|不亮不远
音响|重低音|太差
中控台|硬塑料感|太强
车|内饰|太粗糙了
车|null|null
车|自动落锁|没有
车|null|太窄，不大气
顶棚|设计|低矮，压抑感强
suv|空间|这么局促
车|null|声音有点大
小5|自动挡|null
自动挡|档杆|胶质感太强
车|油耗|有点厉害
一汽|水壶|纸做的
车|前排座椅|实在是有点高
车|右后门|有点涩
储物盒|盖子|变形了
后轮支架|钢梁|生锈
车|后备箱|滴水，设计存在缺陷
车|动力|不足
车|动力|不是很顺畅
车|动力|下降了，明显偏软
车|油耗|过大
车|发动机|过热
车|动力|太一般
